"h"-"t"-"nC"-"e"-"ov"-"xb"-"yb"-"xc"-"yc"
1-3,099-3-0-4,5-0,5-5-0-1
1-2,197-3-1-6-5-5-1-3
1-1,773-2-2-5-5-0-2-2
1-5,003-5-3-4-5-5-3-3
1-2,407-2-4-7-5-5-3-0
2-7,291-3-0-4,5-0,5-5-3-3
2-4,267-3-1-6-5-5-1-3
2-2,636-2-2-5-0-5-2-2
2-16,027-5-3-4-0-5-0-1
2-1,935-2-4-7-5-5-3-0
3-4,139-3-0-4,5-0,5-5-0-1
3-2,108-3-1-6-5-5-1-3
3-1,867-2-2-5-5-0-2-2
3-9,344-5-3-4-5-5-3-3
3-1,594-2-4-7-5-5-3-0
4-8,009-3-0-4,5-0,5-5-3-3
4-4,099-3-1-6-5-5-1-3
4-2,448-2-2-5-0-5-2-2
4-17,264-5-3-4-0-5-0-1
4-1,877-2-4-7-5-5-3-0
5-3,676-3-0-4,5-0,5-5-0-1
5-2,094-3-1-6-5-5-1-3
5-1,933-2-2-5-5-0-2-2
5-5,389-5-3-4-5-5-3-3
5-1,762-2-4-7-5-5-3-0
6-3,223-3-0-4,5-0,5-5-0-1
6-2,154-3-1-6-5-5-1-3
6-1,753-2-2-5-5-0-2-2
6-4,858-5-3-4-5-5-3-3
6-1,573-2-4-7-5-5-3-0
7-3,097-3-0-4,5-0,5-5-0-1
7-2,248-3-1-6-5-5-1-3
7-1,997-2-2-5-5-0-2-2
7-5,025-5-3-4-5-5-3-3
7-2,309-2-4-7-5-5-3-0
8-5,757-3-0-4,5-0,5-5-3-3
8-7,345-3-1-6-5-5-1-3
8-2,350-2-2-5-5-0-3-3
8-10,805-5-3-4-0-5-0-1
8-2,641-2-4-7-0-5-2-0
9-3,131-3-0-4,5-0,5-5-0-1
9-2,305-3-1-6-5-5-1-3
9-1,763-2-2-5-5-0-2-2
9-5,030-5-3-4-5-5-3-3
9-2,347-2-4-7-5-5-3-0
10-3,013-3-0-4,5-0,5-5-0-1
10-2,111-3-1-6-5-5-1-3
10-1,948-2-2-5-5-0-2-2
10-5,467-5-3-4-5-5-3-3
10-1,580-2-4-7-5-5-3-0
11-3,061-3-0-4,5-0,5-5-0-1
11-2,176-3-1-6-5-5-1-3
11-1,742-2-2-5-5-0-2-2
11-5,124-5-3-4-5-5-3-3
11-1,597-2-4-7-5-5-3-0
12-3,119-3-0-4,5-0,5-5-0-1
12-2,285-3-1-6-5-5-1-3
12-1,831-2-2-5-5-0-2-2
12-5,885-5-3-4-5-5-3-3
12-1,725-2-4-7-5-5-3-0
13-6,214-3-0-4,5-0,5-5-3-3
13-5,049-3-1-6-5-5-1-3
13-2,005-2-2-5-5-0-3-3
13-10,544-5-3-4-0-5-0-1
13-2,478-2-4-7-0-5-2-0
