"h"-"t"-"nC"-"e"-"ov"-"xb"-"yb"-"xc"-"yc"
1-6,685-7-0-9-10-10-5-6
1-3,857-4-1-10-10-10-6-4
1-18,126-8-2-6-10-5-7-8
1-2,841-4-3-12-10-10-4-4
1-3,362-3-4-8,5-0-2,5-7-1
2-32,272-7-0-9-10-10-5-6
2-10,269-4-1-10-10-10-6-4
2-60,137-8-2-6-10-5-7-2
2-3,148-4-3-12-10-10-4-4
2-7,556-3-4-8,5-0-2,5-6-5
3-6,980-7-0-9-10-10-5-6
3-5,472-4-1-10-10-10-6-4
3-20,508-8-2-6-10-5-7-8
3-3,783-4-3-12-10-10-4-4
3-3,191-3-4-8,5-0-2,5-7-1
4-35,797-7-0-9-10-10-5-6
4-10,106-4-1-10-10-10-6-4
4-59,140-8-2-6-10-5-7-2
4-3,151-4-3-12-10-10-4-4
4-7,735-3-4-8,5-0-2,5-6-5
5-7,117-7-0-9-10-10-5-6
5-3,897-4-1-10-10-10-6-4
5-24,032-8-2-6-10-5-7-8
5-2,873-4-3-12-10-10-4-4
5-8,860-3-4-8,5-0-2,5-7-1
6-10,172-7-0-9-10-10-5-6
6-4,077-4-1-10-10-10-6-4
6-19,892-8-2-6-10-5-7-2
6-5,715-4-3-12-10-10-4-4
6-25,653-3-4-8,5-0-2,5-7-1
7-26,668-7-0-9-10-10-5-6
7-3,993-4-1-10-10-10-6-4
7-17,473-8-2-6-10-5-7-8
7-2,933-4-3-12-10-10-4-4
7-3,718-3-4-8,5-0-2,5-7-1
8-15,052-7-0-9-10-10-5-6
8-10,735-4-1-10-10-10-6-4
8-40,323-8-2-6-10-5-7-8
8-5,572-4-3-12-10-10-4-4
8-4,604-3-4-8,5-0-2,5-6-5
9-7,064-7-0-9-10-10-5-6
9-5,245-4-1-10-10-10-6-4
9-18,922-8-2-6-10-5-7-8
9-2,977-4-3-12-10-10-4-4
9-3,141-3-4-8,5-0-2,5-7-1
10-6,758-7-0-9-10-10-5-6
10-3,849-4-1-10-10-10-6-4
10-17,041-8-2-6-10-5-7-8
10-2,808-4-3-12-10-10-4-4
10-4,208-3-4-8,5-0-2,5-7-1
11-6,615-7-0-9-10-10-5-6
11-4,020-4-1-10-10-10-6-4
11-17,177-8-2-6-10-5-7-8
11-2,873-4-3-12-10-10-4-4
11-3,123-3-4-8,5-0-2,5-7-1
12-6,702-7-0-9-10-10-5-6
12-4,128-4-1-10-10-10-6-4
12-17,205-8-2-6-10-5-7-8
12-2,827-4-3-12-10-10-4-4
12-3,469-3-4-8,5-0-2,5-7-1
13-14,402-7-0-9-10-10-5-6
13-11,454-4-1-10-10-10-6-4
13-49,792-8-2-6-10-5-7-8
13-5,429-4-3-12-10-10-4-4
13-4,493-3-4-8,5-0-2,5-6-5
