"h"-"t"-"nC"-"e"-"ov"-"xb"-"yb"-"xc"-"yc"
1-2,901-3-0-18-0-15-10-7
1-10,506-4-1-15-15-15-2-13
1-85,800-15-2-10-15-0-13-8
1-28,818-12-3-8-0-0-0-8
1-61,948-14-4-8,5-4,5-15-10-12
2-3,217-3-0-18-0-15-10-7
2-23,725-4-1-15-15-15-2-13
2-903,404-15-2-10-15-0-13-8
2-451,814-12-3-8-0-0-0-8
2-1051,008-14-4-8,5-4,5-15-10-12
3-4,188-3-0-18-0-15-10-7
3-42,609-4-1-15-15-15-2-13
3-140,606-15-2-10-15-0-13-8
3-267,505-12-3-8-0-0-0-8
3-86,436-14-4-8,5-4,5-15-10-12
4-3,168-3-0-18-0-15-10-7
4-31,814-4-1-15-15-15-2-13
4-1109,805-15-2-10-15-0-13-8
4-475,053-12-3-8-0-0-0-8
4-900,389-14-4-8,5-4,5-15-10-12
5-3,067-3-0-18-0-15-10-7
5-10,282-4-1-15-15-15-2-13
5-113,337-15-2-10-15-0-13-8
5-34,850-12-3-8-0-0-0-8
5-70,643-14-4-8,5-4,5-15-1-10
6-2,983-3-0-18-0-15-10-7
6-20,304-4-1-15-15-15-2-13
6-207,479-15-2-10-15-0-13-8
6-62,818-12-3-8-0-0-0-8
6-82,626-14-4-8,5-4,5-15-1-10
7-2,946-3-0-18-0-15-10-7
7-11,237-4-1-15-15-15-2-13
7-110,828-15-2-10-15-0-13-8
7-31,412-12-3-8-0-0-0-8
7-67,387-14-4-8,5-4,5-15-10-12
8-3,873-3-0-18-0-15-10-7
8-5,565-4-1-15-15-15-2-13
8-96,828-15-2-10-15-0-8-3
8-84,848-12-3-8-15-15-12-10
8-120,664-14-4-8,5-4,5-15-1-10
9-2,832-3-0-18-0-15-10-7
9-10,483-4-1-15-15-15-2-13
9-81,706-15-2-10-15-0-13-8
9-30,378-12-3-8-0-0-0-8
9-60,662-14-4-8,5-4,5-15-10-12
10-2,736-3-0-18-0-15-10-7
10-10,510-4-1-15-15-15-2-13
10-81,667-15-2-10-15-0-13-8
10-28,466-12-3-8-0-0-0-8
10-60,487-14-4-8,5-4,5-15-10-12
11-2,824-3-0-18-0-15-10-7
11-10,525-4-1-15-15-15-2-13
11-81,891-15-2-10-15-0-13-8
11-29,074-12-3-8-0-0-0-8
11-60,570-14-4-8,5-4,5-15-10-12
12-2,709-3-0-18-0-15-10-7
12-21,306-4-1-15-15-15-2-13
12-91,028-15-2-10-15-0-13-8
12-31,741-12-3-8-0-0-0-8
12-62,734-14-4-8,5-4,5-15-10-12
13-4,385-3-0-18-0-15-10-7
13-9,117-4-1-15-15-15-2-13
13-170,797-15-2-10-15-0-8-3
13-168,013-12-3-8-15-15-12-10
13-154,588-14-4-8,5-4,5-15-1-10
